artist,title,track_no,track_no_source,unknown,from_cd_artist,from_cd_title,mix_id,mix_name
"Quiet boys, the",Everybody loves the summer,60000705,T01: 11,1.0,Nu cool 1,V,ZZZ0007,Car CD 07 - chillout 01
Sun electric,Sundance,60000706,T05,1.0,Cafe del mar 1,V,ZZZ0007,Car CD 07 - chillout 01
"Rubin, vanessa",Gotta b everything,60000707,T02: 08,1.0,Nu cool 1,V,ZZZ0007,Car CD 07 - chillout 01
"Quaye, finley",Calender,60000708,T09,1.0,"Quaye, finley",Vanguard,ZZZ0007,Car CD 07 - chillout 01
Kleshay,Rush,60000709,T01: 11,1.0,Kiss smooth grooves summer 99,V,ZZZ0007,Car CD 07 - chillout 01
"Lilac time, the",Dreaming,60000710,T07,1.0,"Keeping the faith again, a creation dance compilation",V,ZZZ0007,Car CD 07 - chillout 01
"Hinds, camelle",Saulsalito calling,60000711,T01: 02,1.0,Nu cool 1,V,ZZZ0007,Car CD 07 - chillout 01
"Padilla, jose",Train to nottingham,60000712,T08,1.0,"Padilla, jose",Souvenir,ZZZ0007,Car CD 07 - chillout 01
Khao,No compromise,60000713,T03,1.0,Offering 2 (k7),V,ZZZ0007,Car CD 07 - chillout 01
Lascelles,Butterfly (& vanessa darby),60000714,T03,1.0,Abstract vibes 2,V,ZZZ0007,Car CD 07 - chillout 01
Voices of kwan ad,Return journey,60000801,T05,1.0,Cafe del mar 4 (cuatro),V,ZZZ0008,Car CD 08 - chillout 02
Outside,"Plan, the, minty",60000802,T04,1.0,"Tenaglia, danny, back to mine",V,ZZZ0008,Car CD 08 - chillout 02
Slam mode,Orbiium celestium 7,60000803,T06,1.0,"Summer breeze, glasgow underground presents, kevin mckay",V,ZZZ0008,Car CD 08 - chillout 02
State island groove,Down to the bone,60000804,T01: 10,1.0,Nu cool 1,V,ZZZ0008,Car CD 08 - chillout 02
"Fingers, mr",Survivor,60000805,T02,1.0,Future soul,V,ZZZ0008,Car CD 08 - chillout 02
Coldcut,Anamission,60000806,T01: 12,1.0,If ya can't stand the heat git outa da kitchen,V,ZZZ0008,Car CD 08 - chillout 02
Thievery corporation,Transmission central (& rockers hifi),60000807,T04,1.0,Thievery corporation,Abductions & reconstructions,ZZZ0008,Car CD 08 - chillout 02
Ballistic brothers,Uschi's groove,60000808,T07,1.0,Cafe del mar 5 (cinco),V,ZZZ0008,Car CD 08 - chillout 02
Jhelisa,Sweet dreams,60000809,T01,1.0,Fine gold,V,ZZZ0008,Car CD 08 - chillout 02
Mandalay,Beautiful (canny mix),60000811,T05,1.0,Cafe del mar 6 (seis),V,ZZZ0008,Car CD 08 - chillout 02
"Caldwell, andy",Quiet nights (& gina rene),60000812,T01: 04,1.0,Deeper,V,ZZZ0008,Car CD 08 - chillout 02
"Cole, mj",Sincere (deeper remix),60000813,T01: 07,1.0,Deeper,V,ZZZ0008,Car CD 08 - chillout 02
"Quaye, finley",Feeling blue,60000814,T06,1.0,"Quaye, finley",Vanguard,ZZZ0008,Car CD 08 - chillout 02
"Anderson, carleen",Apparently nothin,60000901,T01: 12,1.0,MOS 4,V,Z0009,Car CD 09
Kklass,Don't stop,60000902,T05,1.0,Kklass,Universal,Z0009,Car CD 09
Ultranate,Free,60000903,T02: 01,1.0,MOS 8,V,Z0009,Car CD 09
Wosp,Getting in 2 u,60000904,T01: 13,1.0,"MOS annual 2002, the",V,Z0009,Car CD 09
"Knuckles, frankie",Keep it real (& adeva),60000905,T05,1.0,"Knuckles, frankie",Welcome to the real world (& adeva),Z0009,Car CD 09
Ground level,Journey through the night,60000906,T04,1.0,Pulsating rhythms 5,V,Z0009,Car CD 09
Mel & kim,Showing out,60000907,T10,0.0,Mel & kim,Flm,Z0009,Car CD 09
"Brown, jocelyn",Something's going on,60000908,T02,1.0,"Brown, jocelyn","Hits, the",Z0009,Car CD 09
"Electric fro, the",Theme from electro fro,60000909,T18,1.0,Can your pussy do the dog,V,Z0009,Car CD 09
1st choice,Armed & extremely dangerous,60000910,T01: 03,1.0,MOS 8,V,Z0009,Car CD 09
