Artist,Title,Track no. on CDR,Track no. on source CD,,From CD artist,From CD title ( V = Various Artists)
Thievery corporation,Transmission central (& rockers hifi),60000807,T04,1,Thievery corporation,Abductions & reconstructions
Ballistic brothers,Uschi's groove,60000808,T07,1,Cafe del mar 5 (cinco),V
Jhelisa,Sweet dreams,60000809,T01,1,Fine gold,V
Mandalay,Beautiful (canny mix),60000811,T05,1,Cafe del mar 6 (seis),V
"Caldwell, andy",Quiet nights (& gina rene),60000812,T01: 04,1,Deeper,V
"Cole, mj",Sincere (deeper remix),60000813,T01: 07,1,Deeper,V
"Quaye, finley",Feeling blue,60000814,T06,1,"Quaye, finley",Vanguard
Zzzz_00009,,60000900,200409,0,,Z 0009 Car CD 09
"Anderson, carleen",Apparently nothin,60000901,T01: 12,1,MOS 4,V
Kklass,Don't stop,60000902,T05,1,Kklass,Universal
Ultranate,Free,60000903,T02: 01,1,MOS 8,V
Wosp,Getting in 2 u,60000904,T01: 13,1,"MOS annual 2002, the",V
"Knuckles, frankie",Keep it real (& adeva),60000905,T05,1,"Knuckles, frankie",Welcome to the real world (& adeva)
Ground level,Journey through the night,60000906,T04,1,Pulsating rhythms 5,V
Mel & kim,Showing out,60000907,T10,0,Mel & kim,Flm
"Brown, jocelyn",Something's going on,60000908,T02,1,"Brown, jocelyn","Hits, the"
"Electric fro, the",Theme from electro fro,60000909,T18,1,Can your pussy do the dog,V
1st choice,Armed & extremely dangerous,60000910,T01: 03,1,MOS 8,V
"E, don",Love makes the world go around,60000911,T01: 10,1,"94th & 10th, a decade of 94th & broadway",V
"Ayers, roy",Sweet tears,60000912,T07,1,"Jumpin 2, classics from the original disco underground",V
Science dept,Persuasion,60000913,T01: 12,1,"Bedrock, john digweed",V
Dimitri from paris,Dim's jazz,60000914,T03,1,Future sound of paris 2,V
Mateo & matos,Happy feeling,60000915,T01: 01,0,"MOS late night sessions 2, xpress2",V
Eurekavibe,Sacred & true,60000916,T12,1,Radio raw 2,V
